text,intent
what boi for ganna?,advice
how is the mosam td?,weather
need bank for farming,subsidy
govt scheme for tomato,subsidy
kya kal temp hogi?,weather
MEDICINE FOR MAKKA BIMARI,disease
where to sell soyabean for good mandi,market
how to apply for pm kisan,subsidy
how much grow for gehun?,advice
bugs in tamatar,disease
SELL MUSTARD TODDAY MARKET,market
right time for corn seeds,advice
bugs in aloo,disease
WETHER TOMORROW,weather
kisan credit card govt,subsidy
mustardme dry lag gaya,disease
what is the paise of sarso todday?,market
KEEDADHAN HELP,disease
how is the rain todday,weather
bimarisarso help,disease
bugsattack on tomato,disease
SPOTSON COTTON STEM,disease
WILL IT MOSAM KAL?,weather
rate rate for wheat??,market
will it rain next day?,weather
kisan credit card govt,subsidy
HOW IS THE WEATHER 2DAY?,weather
should i give pani to soyabean td?,advice
MAUSAMTMRW,weather
kisan credit card bank,subsidy
howmuch fertilizer for cotton?,advice
dhan is dying what to do,disease
my potato fasal are turning yellow,disease
prise prise for wheet??,market
govt form kaha milega,subsidy
weather forecast for punjab,weather
spots attack on sugarcane,disease
isthere any sabsidi for kapas farmers,subsidy
spots on tomato leaves,disease
tellme sarso price,market
needhelp with kanak pani,advice
market market for soyabean??,market
how to apply for scheme,subsidy
bestwater for sarso,advice
spots on potato stem,disease
best beej for ganna,advice
current makka price price,market
mkt mkt for kapas??,market
temp alert needed,weather
baarishforecast for punjab,weather
govt scheme for gehun,subsidy
sukha tamatar help,disease
righttime for makka urea,advice
kya kal baarish hogi,weather
mywheet tana are turning yellow,disease
is mausam coming,weather
how is the baarish todday?,weather
sarkar form kaha milega,subsidy
tomato ka market kya hai today,market
what is the mandi of kapas now?,market
is wether coming,weather
when to khad soybean,advice
diseasemustard help,disease
chawal ka pryce kya hai now?,market
spots on gehu leaves,disease
ispaise up for dhan 2day?,market
needpm kisan for farming,subsidy
tempalert needed,weather
govt pm kisan for kanak,subsidy
best urea for gehu,advice
when to plant wheet?,advice
kya2moro mausam hogi,weather
IS THERE ANY YOJANA FOR PYAZ FARMERS?,subsidy
spots on sugarcane fasal,disease
weather alert needed,weather
medicinefor gehu pest,disease
WHEN TO SEEDS POTATO,advice
PM karz details,subsidy
WHITEPOWDER ON TAMATAR,disease
will it dhoop tmrw?,weather
wether alert needed,weather
rice ke liye kaun sa beej acha hai,advice
white powder on mustard,disease
how to save dhan from keeda,disease
PM subsidy details,subsidy
IS RET UP FOR SOYBEAN TD?,market
sugarcane is dying what to do,disease
is bhav up for gehun now?,market
need loan for farming,subsidy
tell me cotton markit,market
is mausam coming?,weather
spots on gehu pattiyan,disease
what ugana for mustard?,advice
how much seeds for sugarcane?,advice
baarish tmrw,weather
right time for sarso grow,advice
mandi mandi for dhan??,market
how is the weather today,weather
white powder on soyabean,disease
too much dhoop for tamatar,weather
howto apply for subsidy,subsidy
kisan credit card yojana,subsidy
needsabsidi for farming,subsidy
subsidystatus,subsidy
keeda attack on aloo,disease
is mosam coming,weather
bestplant for makka,advice
bugs ganna help,disease
right time for rise dap,advice
rise is dying what to do,disease
kya tomorrow weather hogi?,weather
shouldi give dap to ganna today?,advice
best plant for rice,advice
kya tomorow dhoop hogi?,weather
best pani for kanak,advice
need help with tomato plant,advice
white powder on corn,disease
currentgehu price price,market
whatis the ret of potato today?,market
govt for tractor,subsidy
rain tomorrow,weather
NEED HELP WITH WHEET DAP,advice
how much ugana for kapas?,advice
how to apply for govt,subsidy
how much pani for pyaz?,advice
rise is dying what to do,disease
govt sarkar for pyaz,subsidy
TOO MUCH BAARISH FOR RISE,weather
kisancredit card yojana,subsidy
BIMARI TOMATO HELP,disease
onion ke liye kaun sa seeds acha hai,advice
schem status,subsidy
bhav bhav for kapas??,market
is temp coming?,weather
